,Duration,Framework,Nodes
1079,6592,Spark,4
1080,6588,Spark,4
1081,6589,Spark,4
1082,6592,Spark,4
1083,6592,Spark,4
1084,6602,Spark,4
1085,6599,Spark,4
1086,6602,Spark,4
1087,6615,Spark,4
1088,6604,Spark,4
1089,6621,Spark,4
1090,6624,Spark,4
1091,6625,Spark,4
1092,6626,Spark,4
1093,6634,Spark,4
1094,6633,Spark,4
1095,6640,Spark,4
1096,6641,Spark,4
1097,6645,Spark,4
1098,6649,Spark,4
1099,6653,Spark,4
1100,6654,Spark,4
1101,6781,Spark,4
1102,6824,Spark,4
1103,7139,Spark,4
1104,5970,Spark,4
1105,5972,Spark,4
1106,5977,Spark,4
1107,6027,Spark,4
1108,6040,Spark,4
1109,6052,Spark,4
1110,6063,Spark,4
1111,6080,Spark,4
1112,6085,Spark,4
1113,6086,Spark,4
1114,6090,Spark,4
1115,6092,Spark,4
1116,6096,Spark,4
1117,6097,Spark,4
1118,6101,Spark,4
1119,6103,Spark,4
1120,6121,Spark,4
1121,6130,Spark,4
1122,6132,Spark,4
1123,6177,Spark,4
1124,6181,Spark,4
1125,6247,Spark,4
1126,6216,Spark,4
1127,6252,Spark,4
1128,6253,Spark,4
1129,6264,Spark,4
1130,6265,Spark,4
1131,6246,Spark,4
1132,6271,Spark,4
1133,6308,Spark,4
1134,6267,Spark,4
1135,6315,Spark,4
1136,6332,Spark,4
1137,6361,Spark,4
1138,6369,Spark,4
1139,6374,Spark,4
1140,6357,Spark,4
1141,6379,Spark,4
1142,6384,Spark,4
1143,6366,Spark,4
1144,6388,Spark,4
1145,6370,Spark,4
1146,6395,Spark,4
1147,6397,Spark,4
1148,6400,Spark,4
1149,6388,Spark,4
1150,6395,Spark,4
1151,6398,Spark,4
1152,6406,Spark,4
1153,6430,Spark,4
1154,6408,Spark,4
1155,6410,Spark,4
1156,6436,Spark,4
1157,6417,Spark,4
1158,6438,Spark,4
1159,6423,Spark,4
1160,6445,Spark,4
1161,6448,Spark,4
1162,6427,Spark,4
1163,6429,Spark,4
1164,6451,Spark,4
1165,6456,Spark,4
1166,6438,Spark,4
1167,6439,Spark,4
1168,6461,Spark,4
1169,6466,Spark,4
1170,6446,Spark,4
1171,6447,Spark,4
1172,6501,Spark,4
1173,6532,Spark,4
1174,6535,Spark,4
1175,6536,Spark,4
1176,6508,Spark,4
1177,6539,Spark,4
1178,6548,Spark,4
1179,6550,Spark,4
1180,6556,Spark,4
1181,6558,Spark,4
1182,6582,Spark,4
1183,6563,Spark,4
1184,6564,Spark,4
1185,6567,Spark,4
1186,6571,Spark,4
1187,6578,Spark,4
1188,6590,Spark,4
1189,6595,Spark,4
1190,6597,Spark,4
1191,6731,Spark,4
1192,6821,Spark,4
1193,6846,Spark,4
1194,6862,Spark,4
1195,6935,Spark,4
1196,6988,Spark,4
1197,7003,Spark,4
1198,7190,Spark,4
1199,7400,Spark,4
1200,6000,Spark,4
1201,6010,Spark,4
1202,6012,Spark,4
1203,6036,Spark,4
1204,6042,Spark,4
1205,6045,Spark,4
1206,6050,Spark,4
1207,6054,Spark,4
1208,6063,Spark,4
1209,6066,Spark,4
1210,6070,Spark,4
1211,6073,Spark,4
1212,6076,Spark,4
1213,6081,Spark,4
1214,6098,Spark,4
1215,6114,Spark,4
1216,6142,Spark,4
1217,6149,Spark,4
1218,6156,Spark,4
1219,6196,Spark,4
1220,6202,Spark,4
1221,6221,Spark,4
1222,6227,Spark,4
1223,6232,Spark,4
1224,6237,Spark,4
1225,6239,Spark,4
1226,6249,Spark,4
1227,6236,Spark,4
1228,6252,Spark,4
1229,6240,Spark,4
1230,6259,Spark,4
1231,6266,Spark,4
1232,6266,Spark,4
1233,6271,Spark,4
1234,6279,Spark,4
1235,6283,Spark,4
1236,6289,Spark,4
1237,6292,Spark,4
1238,6299,Spark,4
1239,6310,Spark,4
